,Ticker,Company,Median Worker Pay,Pay RatioSort ascending
1238,TROW,Price T Rowe Group Inc.,157096,82:01:00
1243,EIX,Edison International,182831,81:01:00
1245,MRNA,"Moderna, Inc.",209627,81:01:00
1249,AWK,"American Water Works Company, Inc.",96531,80:01:00
1271,ARE,"Alexandria Real Estate Equities, Inc.",197536,78:01:00
1275,EQT,EQT Corp.,135105,78:01:00
1278,HES,Hess Corp.,216197,78:01:00
1289,REG,Regency Centers Corp.,119778,77:01:00
1295,ETR,Entergy Corp.,135842,76:01:00
1296,FFIV,"F5, Inc.",142691,76:01:00
1300,FFIV,"F5, Inc.",142691,76:01:00
1322,NTAP,"Netapp, Inc.",154521,74:01:00
1325,WEC,"Wec Energy Group, Inc.",131029,73:01:00
1327,CEG,Constellation Energy Corp.,143428,73:01:00
1332,EOG,Eog Resources Inc.,198556,73:01:00
1339,ED,Consolidated Edison Inc.,224220,72:01:00
1344,DTE,DTE Energy Co.,144402,71:01:00
1356,VST,Vistra Corp.,149935,70:01:00
1360,HST,"Host Hotels & Resorts, Inc.",251653,70:01:00
1363,VST,Vistra Corp.,149935,70:01:00
1366,CINF,Cincinnati Financial Corp.,120704,69:01:00
1370,PPL,PPL Corp.,173259,69:01:00
1375,AEE,Ameren Corp.,133250,68:01:00
1393,FAST,Fastenal Co.,46393,67:01:00
1405,FRT,Federal Realty Investment Trust,135358,66:01:00
1434,META,"Meta Platforms, Inc.",379050,64:01:00
1460,INCY,Incyte Corp.,267066,62:01:00
1470,PNW,Pinnacle West Capital Corp.,153935,61:01:00
1472,ORCL,Oracle Corp.,85991,61:01:00
1512,CBOE,"Cboe Global Markets, Inc.",179120,58:01:00
1528,CMS,CMS Energy Corp.,170276,57:01:00
1540,VRSN,Verisign Inc.,217196,56:01:00
1541,D,"Dominion Energy, Inc.",112683,56:01:00
1547,LNT,Alliant Energy Corp.,173346,56:01:00
1580,CPAY,Corpay,50798,53:01:00
1583,EVRG,"Evergy, Inc.",105724,53:01:00
1590,NI,Nisource Inc.,174408,53:01:00
1638,MKTX,Marketaxess Holdings Inc.,167000,50:01:00
1652,REGN,"Regeneron Pharmaceuticals, Inc.",165843,49:01:00
1724,CPRT,Copart Inc.,45224,44:01:00
1729,DOC,Physicians Realty Trust,109629,44:01:00
1815,PAYC,"Paycom Software, Inc.",79173,39:01:00
1841,DELL,Dell Technologies Inc.,74729,37:01:00
1842,ESS,"Essex Property Trust, Inc.",93662,37:01:00
1952,VICI,Vici Properties Inc.,376391,30:01:00
1961,VICI,Vici Properties Inc.,376391,30:01:00
1972,GOOG,Alphabet Inc.,304930,29:01:00
2093,NVR,NVR Inc.,75700,23:01
2102,NVR,NVR Inc.,75700,23:01
2193,PLTR,Palantir Technologies Inc.,191630,18:01
2295,EXPE,"Expedia Group, Inc.",105372,10:01
2301,EXPE,"Expedia Group, Inc.",105372,10:01
2356,BRK.B,Berkshire Hathaway Inc.,76726,5:01
2384,TTWO,Take Two Interactive Software Inc.,75276,2:01
2386,ABNB,"Airbnb, Inc.",243757,1:01
